Flight Number,DEP. ICAO,ARR ICAO,Aircraft,Route Type,Duration,Rank,Notes
SU2518,UUEE,LEPA,A321,,4:00,,
SU2519,LEPA,UUEE,A321,,4:00,,
SU2964,USRR,URKK,A320,,4:00,,
SU2965,URKK,USRR,A320,,4:00,,
SU795,LTAI,UWKD,B738,,4:05,,
SU801,LTAI,UWGG,B738,,4:05,,
SU1478,UUEE,UNAA,"A320,A20N,A321",,4:05,,
SU1482,UUEE,UNKL,"A320,A321,B738",,4:05,,
SU1484,UUEE,UNKL,"A320,A20N,A321,B738",,4:05,,
SU1486,UUEE,UNKL,"A320,A20N,A321,A333,A359,B738",,4:05,,
SU1488,UUEE,UNKL,"A320,A20N,A321",,4:05,,
SU1549,UNNT,UUEE,"A320,A20N,A321,A21N,B738,B77W",,4:05,,
SU1871,UTTT,UUEE,"A320,A333,A359,B738,B77W",,4:05,,
SU1877,UTSB,UUEE,"A320,A20N",,4:05,,
SU1984,UUEE,UTSS,B738,,4:05,,
SU1985,UTSS,UUEE,B738,,4:05,,
SU2173,LTFM,UUEE,"A320,A321,B738",,4:05,,
SU2804,ULLI,URSS,A320,,4:05,,
SU2814,ULLI,URSS,A320,,4:05,,
SU604,ULLI,UTNU,A320,,4:10,,
SU799,LTAI,UWUU,B738,,4:10,,
SU1307,UNNT,UUEE,"A320,A20N,A321,A21N,A333,B738",,4:10,,
SU1461,UNNT,UUEE,"A320,A20N,A321,A21N,B738",,4:10,,
SU1879,UTSS,UUEE,"A320,B738",,4:10,,
SU2110,UUEE,LGAV,A321 B77W,,4:10,,
SU2111,LGAV,UUEE,A321 B77W,,4:10,,
SU2135,LTFM,UUEE,"A320,A333,B738,B77W",,4:10,,
SU2149,LTAI,UUEE,"A333,B77W",,4:10,,
SU2171,LTFM,UUEE,B738,,4:10,,
SU2378,UUEE,LFML,A320,,4:10,,
SU2390,UUEE,LSZH,"A321,B738",,4:10,,
SU2391,LSZH,UUEE,"A321,B738",,4:10,,
SU2480,UUEE,LIRN,"A320,SU95",,4:10,,
SU2481,LIRN,UUEE,"A320,SU95",,4:10,,
SU2942,USTR,URFF,A320,,4:10,,
SU2943,URFF,USTR,A320,,4:10,,
SU631,LTFM,USSS,B738,,4:15,,
SU838,UNKL,UTSS,B738,,4:15,,
SU839,UTSS,UNKL,B738,,4:15,,
SU1309,ULLI,UUEE,B738,,4:15,,
SU1431,UNBB,UUEE,"A320,A20N,A321",,4:15,,
SU1463,UNNT,UUEE,"A320,A20N,A321,B738",,4:15,,
SU1537,UNTT,UUEE,"A320,A321,B738",,4:15,,
SU1873,UTTT,UUEE,B738,,4:15,,
SU1875,UTSS,UUEE,B738,,4:15,,
SU1891,UTTT,UUEE,"A333,A359",,4:15,,
SU1892,UUEE,UCFL,"A320,A20N",,4:15,,
SU1893,UCFL,UUEE,"A320,A20N",,4:15,,
SU2902,USTR,URKK,A320,,4:15,,
SU2903,URKK,USTR,A320,,4:15,,
SU2920,ULMM,URSS,A320,,4:15,,
SU2921,URSS,ULMM,A320,,4:15,,
SU605,UTNU,ULLI,A320,,4:20,,
SU704,UWKD,EDDF,A321,,4:20,,
SU1531,UNTT,UUEE,"A321,A21N,B738",,4:20,,
SU2806,ULLI,UNKL,A320,,4:20,,
SU2807,UNKL,ULLI,A320,,4:20,,
SU794,UWKD,LTAI,B738,,4:25,,
SU798,UWUU,LTAI,B738,,4:25,,
SU800,UWGG,LTAI,B738,,4:25,,
SU836,UNKL,UTSB,B738,,4:25,,
SU837,UTSB,UNKL,B738,,4:25,,
SU1451,UNEE,UUEE,"A320,A20N,A321,A21N",,4:25,,
SU1457,UNEE,UUEE,"A320,A20N,A321",,4:25,,
SU1539,UNTT,UUEE,B738,,4:25,,
SU1883,UCFM,UUEE,A321,,4:25,,
SU1887,UCFM,UUEE,"A321,A359",,4:25,,
SU2131,LTFM,UUEE,B738,,4:25,,
SU2133,LTFM,UUEE,"A321,B738",,4:25,,
SU2137,LTFM,UUEE,B738,,4:25,,
SU2141,LTFM,UUEE,B738,,4:25,,
SU2152,UUEE,LTAF,"A320,A20N",,4:25,,
SU2170,UUEE,LTFM,B738,,4:25,,
SU2590,UUEE,EIDW,A320,,4:25,,
SU2591,EIDW,UUEE,A320,,4:25,,
SU2875,UNNT,ULLI,A320,,4:25,,
SU2908,UNNT,URKK,A320,,4:25,,
SU2909,URKK,UNNT,A320,,4:25,,
SU793,LTAI,USSS,B738,,4:30,,
SU1899,UCFO,UUEE,"A321,A21N",,4:30,,
SU1951,UAII,UUEE,A320,,4:30,,
SU2134,UUEE,LTFM,"A320,A333,B738,B77W",,4:30,,
SU2146,UUEE,LTAI,"A320,A20N,A333,B738,B77W",,4:30,,
SU2504,UUEE,LEBL,"A320,A321",,4:30,,
SU2505,LEBL,UUEE,"A320,A321",,4:30,,
SU2870,ULLI,UTSS,A320,,4:30,,
SU2871,UTSS,ULLI,A320,,4:30,,
SU2880,URSS,UUYY,A320,,4:30,,
SU2881,UUYY,URSS,A320,,4:30,,
SU2968,ULMM,URFF,A320,,4:30,,
SU1459,UNWW,UUEE,"A320,A20N,A321,B738",,4:35,,
SU1881,UCFM,UUEE,A321,,4:35,,
SU2143,LTAI,UUEE,"A20N,A359,B738",,4:35,,
SU2147,LTAI,UUEE,"A320,A20N,A333,B738,B77W",,4:35,,
SU2150,UUEE,LTBJ,B738,,4:35,,
SU2151,LTBJ,UUEE,B738,,4:35,,
SU808,LTAI,UNNT,B738,,4:40,,
SU1097,UNWW,UUEE,B738,,4:40,,
SU1525,UNBG,UUEE,"A321,B738",,4:40,,
SU1975,UTTT,UUEE,B738,,4:40,,
SU2121,LTFE,UUEE,B738,,4:40,,
SU2125,LTAI,UUEE,"A321,A333,B738,B77W",,4:40,,
SU2130,UUEE,LTFM,B738,,4:40,,
SU2132,UUEE,LTFM,"A321,B738",,4:40,,
SU2138,UUEE,LTFM,B738,,4:40,,
SU2140,UUEE,LTFM,B738,,4:40,,
SU2142,UUEE,LTAI,"A20N,A359,B738",,4:40,,
SU2851,LCPH,ULLI,A320,,4:40,,
SU792,USSS,LTAI,B738,,4:45,,
SU1483,UNKL,UUEE,"A320,A321,B738",,4:45,,
SU1895,UCFO,UUEE,"A321,A21N",,4:45,,
SU1947,UAAA,UUEE,A320,,4:45,,
SU2123,LTBS,UUEE,"A20N,B738",,4:45,,
SU2136,UUEE,LTFM,B738,,4:45,,
SU423,HEGN,UUEE,"A333,B77W",,4:50,,
SU520,UUEE,OMDB,"A333,B77W",,4:50,,
SU789,LTAI,ULLI,B738,,4:50,,
SU1481,UNKL,UUEE,"A320,A20N,A321,A21N",,4:50,,
SU1485,UNKL,UUEE,"A320,A20N,A321,B738",,4:50,,
SU1487,UNKL,UUEE,"A320,A20N,A321,A333,A359,B738",,4:50,,
SU1943,UAAA,UUEE,"A320,A321",,4:50,,
SU2118,UUEE,LTFE,B738,,4:50,,
SU2119,LTFE,UUEE,B738,,4:50,,
SU2522,UUEE,LEAL,B738,,4:50,,
SU2523,LEAL,UUEE,B738,,4:50,,
SU526,UUEE,OMDB,"A333,B738,B77W",,4:55,,
SU630,USSS,LTFM,B738,,4:55,,
SU1479,UNAA,UUEE,"A320,A20N,A321",,4:55,,
SU1489,UNKL,UUEE,"A320,A20N,A321",,4:55,,
SU2120,UUEE,LTFE,B738,,4:55,,
SU2122,UUEE,LTBS,"A20N,B738",,4:55,,
SU417,GMMN,UUEE,"A20N,A333",,5:00,,
SU522,UUEE,OMDW,B738,,5:00,,
SU524,UUEE,OMDB,B738,,5:00,,
SU1440,UUEE,UIII,B738,,5:00,,
SU530,UUEE,OMAA,B738,,5:05,,
SU723,LTFM,ULLI,B738,,5:05,,
SU1444,UUEE,UIII,B738,,5:05,,
SU1564,UUEE,UIII,B738,,5:05,,
SU1941,UAAA,UUEE,"A320,A321,A333",,5:05,,
SU1971,UTFF,UUEE,B738,,5:05,,
SU2172,UUEE,LTFM,"A320,A321,B738",,5:05,,
SU2606,UUEE,LPPT,B738,,5:05,,
SU721,UTTT,ULLI,A320,,5:10,,
SU842,UNNT,UDYZ,B738,,5:10,,
SU843,UDYZ,UNNT,B738,,5:10,,
SU1442,UUEE,UIII,B738,,5:10,,
SU1562,UUEE,UIII,B738,,5:10,,
SU2946,UNNT,URFF,A320,,5:10,,
SU2947,URFF,UNNT,A320,,5:10,,
SU521,OMDB,UUEE,"A333,B77W",,5:15,,
SU788,ULLI,LTAI,B738,,5:15,,
SU2848,UNKL,URKK,B738,,5:15,,
SU2849,URKK,UNKL,B738,,5:15,,
SU2850,ULLI,LCPH,A320,,5:15,,
SU416,UUEE,GMMN,"A20N,A333",,5:20,,
SU525,OMDB,UUEE,B738,,5:20,,
SU722,ULLI,LTFM,B738,,5:20,,
SU803,LTAI,UNNT,B738,,5:20,,
SU232,UUEE,VIDP,"A333,A359,B77W",,5:25,,
SU527,OMDB,UUEE,"A333,B738,B77W",,5:25,,
SU700,ULLI,UCFL,A320,,5:25,,
SU790,ULLI,LTAI,B738,,5:25,,
SU791,LTAI,ULLI,B738,,5:25,,
SU400,UUEE,HECA,B738,,5:30,,
SU401,HECA,UUEE,B738,,5:30,,
SU2076,UUEE,LCPH,B738,,5:30,,
SU2077,LCPH,UUEE,B738,,5:30,,
SU2502,UUEE,LEVC,A20N,,5:30,,
SU2503,LEVC,UUEE,A20N,,5:30,,
SU602,ULLI,UTFN,A320,,5:35,,
SU603,UTFN,ULLI,A320,,5:35,,
SU2520,UUEE,LEMG,B738,,5:35,,
SU2521,LEMG,UUEE,B738,,5:35,,
SU422,UUEE,HEGN,"A333,B77W",,5:40,,
SU427,HESH,UUEE,"A333,B77W",,5:40,,
SU807,UNNT,LTAI,B738,,5:40,,
SU330,UUEE,ZMCK,B738,,5:45,,
SU426,UUEE,HESH,"A333,B77W",,5:45,,
SU528,UUEE,OMSJ,B738,,5:45,,
SU529,OMSJ,UUEE,B738,,5:45,,
SU531,OMAA,UUEE,B738,,5:45,,
SU701,UCFL,ULLI,A320,,5:45,,
SU2500,UUEE,LEMD,"A20N,B738",,5:45,,
SU2501,LEMD,UUEE,"A20N,B738",,5:45,,
SU2607,LPPT,UUEE,B738,,5:45,,
SU428,UUEE,HESH,B738,,5:50,,
SU523,OMDW,UUEE,B738,,5:50,,
SU645,VTBS,UHWW,"B738,B77W",,5:50,,
SU658,UIII,VTSP,B738,,5:50,,
SU2896,UNKL,URSS,B738,,5:50,,
SU2897,URSS,UNKL,B738,,5:50,,
SU424,UUEE,HEGN,B738,,5:55,,
SU425,HEGN,UUEE,B738,,5:55,,
SU510,UUEE,OLBA,"A20N,B738",,5:55,,
SU659,VTSP,UIII,B738,,5:55,,
SU1565,UIII,UUEE,B738,,5:55,,
SU429,HESH,UUEE,B738,,6:00,,
SU1443,UIII,UUEE,B738,,6:00,,
SU1447,UIII,UUEE,B738,,6:00,,
SU1563,UIII,UUEE,B738,,6:00,,
SU1441,UIII,UUEE,B738,,6:05,,
SU1445,UIII,UUEE,B738,,6:05,,
SU1750,UUEE,UEEE,B738,,6:05,,
SU1752,UUEE,UEEE,B738,,6:05,,
SU500,UUEE,LLBG,"A321,A333,B738,B77W",,6:10,,
SU501,LLBG,UUEE,"A321,A333,B738,B77W",,6:10,,
SU632,USSS,VOGO,B738,,6:10,,
SU633,VOGO,USSS,B738,,6:10,,
SU733,HEGN,ULLI,A333,,6:15,,
SU1753,UEEE,UUEE,B738,,6:15,,
SU233,VIDP,UUEE,"A333,A359,B77W",,6:20,,
SU734,ULLI,HESH,A333,,6:20,,
SU802,UNNT,LTAI,B738,,6:20,,
SU814,UNKL,VTBS,"A333,B738",,6:20,,
SU644,UHWW,VTBS,"B738,B77W",,6:25,,
SU639,VTSP,UHWW,B77W,,6:30,,
SU646,UNNT,VTBS,"A333,B738",,6:30,,
SU650,UNNT,VTBS,"A333,B738",,6:30,,
SU660,UIII,VTSP,"A321,A21N",,6:30,,
SU661,VTSP,UIII,"A321,A21N",,6:30,,
SU204,UUEE,ZBAD,B77W,,6:35,,
SU815,VTBS,UNKL,"A333,B738",,6:35,,
SU654,UHHH,VTBS,A333,,6:40,,
SU331,ZMCK,UUEE,B738,,6:45,,
SU634,UNKL,VTSP,B77W,,6:45,,
SU635,VTSP,UNKL,B77W,,6:45,,
SU638,UHWW,VTSP,B77W,,6:45,,
SU655,VTBS,UHHH,A333,,6:45,,
SU720,ULLI,UTTT,A320,,6:45,,
SU1710,UUEE,UHHH,"A333,A359,B77W",,6:45,,
SU1714,UUEE,UHHH,"A359,B77W",,6:45,,
SU1751,UEEE,UUEE,B738,,6:45,,
SU651,VTBS,UNNT,"A333,B738",,6:50,,
SU824,UNNT,VTSP,B77W,,6:50,,
SU236,UUEE,VOGO,A333,,6:55,,
SU647,VTBS,UNNT,"A333,B738",,6:55,,
SU1712,UUEE,UHHH,"A359,B77W",,6:55,,
SU1718,UUEE,UHHH,"A359,B77W",,6:55,,
SU636,UNNT,VTSP,B77W,,7:00,,
SU642,VTSP,UHHH,B77W,,7:00,,
SU643,UHHH,VTSP,"B77W,A359",,7:10,,
SU216,UUEE,ZUUU,A333,,7:20,,
SU637,VTSP,UHWW,B77W,,7:20,,
SU656,UHHH,VTSP,B77W,,7:20,,
SU825,VTSP,UHWW,B77W,,7:20,,
SU1742,UUEE,UHSS,"A359,B77W",,7:20,,
SU237,VOGO,UUEE,A333,,7:25,,
SU1706,UUEE,UHWW,"A333,A359,B77W",,7:25,,
SU1702,UUEE,UHWW,"A359,B77W",,7:30,,
SU1704,UUEE,UHWW,"A359,B77W",,7:30,,
SU1786,UUEE,UHSS,A359,,7:30,,
SU657,VTSP,UHHH,B77W,,7:35,,
SU1790,UUEE,UHWW,A359,,7:35,,
SU1700,UUEE,UHWW,"A359,B77W",,7:40,,
SU1708,UUEE,UHWW,"A333,A359,B77W",,7:40,,
SU1711,UHHH,UUEE,"A333,A359,B77W",,7:45,,
SU1715,UHHH,UUEE,"A359,B77W",,7:45,,
SU1732,UUEE,UHPP,"A359,B77W",,7:45,,
SU1744,UUEE,UHSS,B77W,,7:45,,
SU1798,UUEE,UHWW,"A359,B77W",,7:45,,
SU208,UUEE,ZSPD,"A333,B77W",,7:50,,
SU250,UUEE,RKSI,B77W,,7:50,,
SU1713,UHHH,UUEE,"A359,B77W",,7:50,,
SU1730,UUEE,UHPP,"A359,B77W",,7:50,,
SU1734,UUEE,UHPP,"A359,B77W",,7:50,,
SU1736,UUEE,UHPP,B77W,,7:50,,
SU2548,UUEE,GCTS,A20N,,7:50,,
SU2549,GCTS,UUEE,A20N,,7:50,,
SU205,ZBAD,UUEE,B77W,,8:00,,
SU324,UUEE,VRMM,B77W,,8:00,,
SU626,USSS,VTSP,A333,,8:00,,
SU627,VTSP,USSS,A333,,8:00,,
SU1735,UHPP,UUEE,"A359,B77W",,8:00,,
SU320,UUEE,VRMM,"A359,B77W",,8:05,,
SU1733,UHPP,UUEE,"A359,B77W",,8:05,,
SU1745,UHSS,UUEE,B77W,,8:05,,
SU1746,UUEE,UHSS,"A333,B77W",,8:05,,
SU411,DTNH,UUEE,A333,,8:10,,
SU1709,UHWW,UUEE,"A333,A359,B77W",,8:10,,
SU1757,UHWW,UUEE,"A359,B77W",,8:10,,
SU217,ZUUU,UUEE,A333,,8:20,,
SU272,UUEE,VTSB,B77W,,8:20,,
SU1719,UHHH,UUEE,"A359,B77W",,8:20,,
SU1731,UHPP,UUEE,"A359,B77W",,8:20,,
SU1743,UHSS,UUEE,"A359,B77W",,8:20,,
SU1799,UHWW,UUEE,"A359,B77W",,8:20,,
SU270,UUEE,VTBS,B77W,,8:25,,
SU321,VRMM,UUEE,"A359,B77W",,8:25,,
SU1705,UHWW,UUEE,"A359,B77W",,8:25,,
SU1737,UHPP,UUEE,B77W,,8:25,,
SU1787,UHSS,UUEE,A359,,8:25,,
SU276,UUEE,VTSP,B77W,,8:30,,
SU1701,UHWW,UUEE,"A359,B77W",,8:30,,
SU1703,UHWW,UUEE,"A359,B77W",,8:30,,
SU1707,UHWW,UUEE,"A333,A359,B77W",,8:30,,
SU1747,UHSS,UUEE,"A333,B77W",,8:30,,
SU220,UUEE,ZGGG,B77W,,8:35,,
SU244,UUEE,FSIA,A333,,8:35,,
SU290,UUEE,VVNB,B77W,,8:35,,
SU325,VRMM,UUEE,B77W,,8:35,,
SU652,USSS,VTBS,A333,,8:35,,
SU653,VTBS,USSS,A333,,8:35,,
SU274,UUEE,VTSP,B77W,,8:40,,
SU278,UUEE,VTSP,B77W,,8:45,,
SU410,UUEE,DTNH,A333,,8:55,,
SU245,FSIA,UUEE,A333,,9:05,,
SU224,UUEE,ZJSY,A333,,9:20,,
SU251,RKSI,UUEE,B77W,,9:25,,
SU260,UUEE,RJTT,"A333,A359,B77W",,9:25,,
SU279,VTSP,UUEE,B77W,,9:25,,
SU209,ZSPD,UUEE,"A333,B77W",,9:30,,
SU212,UUEE,VHHH,A333,,9:35,,
SU271,VTBS,UUEE,B77W,,9:35,,
SU273,VTSB,UUEE,B77W,,9:35,,
SU261,RJTT,UUEE,"A333,A359,B77W",,9:45,,
SU213,VHHH,UUEE,A333,,9:50,,
SU221,ZGGG,UUEE,B77W,,9:50,,
SU275,VTSP,UUEE,B77W,,9:50,,
SU292,UUEE,VVTS,"A359,B77W",,9:50,,
SU628,ULLI,VTSP,A333,,10:00,,
SU293,VVTS,UUEE,"A359,B77W",,10:10,,
SU277,VTSP,UUEE,B77W,,10:20,,
SU291,VVNB,UUEE,B77W,,10:20,,
SU102,UUEE,KJFK,"A333,B77W",,10:30,,
SU103,KJFK,UUEE,"A333,B77W",,10:30,,
SU732,ULLI,HEGN,A333,,10:30,,
SU104,UUEE,KIAD,A333,,10:35,,
SU105,KIAD,UUEE,A333,,10:35,,
SU225,ZJSY,UUEE,A333,,10:35,,
SU246,UUEE,FIMP,B77W,,10:40,,
SU629,VTSP,ULLI,A333,,10:40,,
SU157,MDPC,UUEE,A359,,10:45,,
SU155,MUVR,UUEE,A359,,10:55,,
SU106,UUEE,KLAX,B77W,,11:00,,
SU107,KLAX,UUEE,B77W,,11:00,,
SU247,FIMP,UUEE,B77W,,11:05,,
SU154,UUEE,MUVR,A359,,12:15,,
SU156,UUEE,MDPC,A359,,12:15,,
SU297,UUEE,WADD,A359,,12:25,,
SU151,MUHA,UUEE,A359,,12:35,,
SU296,WADD,UUEE,B77W,,12:35,,
SU108,UUEE,KMIA,A359,,12:40,,
SU109,KMIA,UUEE,A359,,12:40,,
SU158,UUEE,MMUN,A359,,13:25,,
SU159,MMUN,UUEE,A359,,13:45,,
SU150,UUEE,MUHA,A359,,14:05,,